DISTRICT,D200A001S15R,D200AC01S15R,D200AM01S15R,D200AR01S15R,D200AS01S15R,D200AW01S15R,D300A001S15R,D300AC01S15R,D300AM01S15R,D300AR01S15R,D300AS01S15R,D300AW01S15R,D400A001S15R,D400AC01S15R,D400AM01S15R,D400AR01S15R,D400AS01S15R,D400AW01S15R,DA00A001S15R,DA00AC01S15R,DA00AM01S15R,DA00AR01S15R,DA00AS01S15R,DA00AW01S15R,DB00A001S15R,DB00AC01S15R,DB00AM01S15R,DB00AR01S15R,DB00AS01S15R,DB00AW01S15R,DE00A001S15R,DE00AC01S15R,DE00AM01S15R,DE00AR01S15R,DE00AS01S15R,DE00AW01S15R,DF00A001S15R,DF00AC01S15R,DF00AM01S15R,DF00AR01S15R,DF00AS01S15R,DF00AW01S15R,DH00A001S15R,DH00AC01S15R,DH00AM01S15R,DH00AR01S15R,DH00AS01S15R,DH00AW01S15R,DI00A001S15R,DI00AC01S15R,DI00AM01S15R,DI00AR01S15R,DI00AS01S15R,DI00AW01S15R,DL00A001S15R,DL00AC01S15R,DL00AM01S15R,DL00AR01S15R,DL00AS01S15R,DL00AW01S15R,DM00A001S15R,DM00AC01S15R,DM00AM01S15R,DM00AR01S15R,DM00AS01S15R,DM00AW01S15R,DR00A001S15R,DR00AC01S15R,DR00AM01S15R,DR00AR01S15R,DR00AS01S15R,DR00AW01S15R,DS00A001S15R,DS00AC01S15R,DS00AM01S15R,DS00AR01S15R,DS00AS01S15R,DS00AW01S15R,DW00A001S15R,DW00AC01S15R,DW00AM01S15R,DW00AR01S15R,DW00AS01S15R,DW00AW01S15R
"011902",71,74,80,73,75,50,52,-1,-1,-1,-1,-1,-1,.,.,-1,.,.,67,64,75,69,63,58,59,60,60,58,63,58,61,58,72,64,55,52,71,64,79,74,62,68,63,56,75,67,54,55,-1,-1,.,-1,-1,.,47,28,54,52,13,57,64,64,71,65,64,48,55,51,67,59,49,45,31,32,20,34,37,-1,80,83,82,81,82,66
"011904",63,75,-1,58,100,-1,77,-1,-1,83,-1,-1,-1,.,.,-1,.,.,74,78,81,76,76,57,63,69,73,64,60,50,66,68,76,67,65,50,78,79,86,81,74,66,66,66,69,69,66,56,-1,.,.,-1,.,-1,42,-1,-1,51,-1,29,71,76,77,71,77,49,58,64,62,61,53,36,43,100,-1,36,63,36,80,84,86,81,80,59
"011905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,60,.,81,70,55,-1,.,.,-1,.,.,69,50,.,79,86,48,77,57,.,88,-1,73,68,50,.,81,-1,41,.,.,.,.,.,.,68,-1,.,74,-1,-1,67,67,.,73,-1,44,63,43,.,73,-1,48,-1,-1,.,-1,-1,-1,76,67,.,80,75,75
"012901",40,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,.,.,.,.,.,.,.,83,80,87,85,74,82,75,-1,-1,86,-1,-1,73,70,82,75,61,76,85,86,94,87,76,81,79,83,100,73,91,80,75,-1,-1,-1,.,-1,-1,.,.,-1,.,.,80,75,83,83,73,84,60,56,-1,66,52,40,47,43,-1,52,-1,-1,85,80,89,88,73,86
"013801",100,-1,.,-1,.,-1,71,-1,.,83,.,.,.,.,.,.,.,.,84,87,.,89,.,65,100,-1,.,-1,.,.,80,79,.,85,.,64,92,91,.,94,.,86,82,89,.,87,.,61,.,.,.,.,.,.,-1,-1,.,-1,.,-1,74,79,.,82,.,52,69,76,.,77,.,41,40,-1,.,50,.,-1,93,88,.,97,.,83
"013901",69,-1,-1,58,-1,71,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,64,64,56,64,62,70,75,78,-1,75,100,85,60,59,55,61,55,68,66,61,56,69,57,82,62,61,55,63,58,68,86,-1,.,-1,.,-1,52,46,-1,52,-1,67,61,66,56,60,66,59,52,51,45,52,52,57,35,32,-1,37,-1,43,73,78,72,70,77,73
"013902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80,75,100,86,100,47,-1,-1,.,-1,.,.,80,85,100,87,100,-1,80,88,100,82,-1,-1,78,72,100,84,100,44,.,.,.,.,.,.,.,.,.,.,.,.,81,67,-1,90,-1,-1,46,-1,.,61,.,-1,-1,-1,.,-1,.,.,94,-1,-1,92,-1,-1
"013903",-1,-1,-1,-1,.,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,73,73,88,73,65,62,-1,.,-1,-1,-1,.,69,72,88,69,57,61,79,74,95,83,61,80,70,68,89,72,61,63,83,-1,.,-1,-1,-1,-1,-1,.,-1,.,.,67,72,83,65,70,50,63,70,89,61,56,29,38,50,-1,40,-1,-1,76,82,83,77,69,65
"013905",83,-1,.,-1,-1,.,100,-1,.,100,-1,-1,-1,.,.,-1,.,-1,87,93,93,88,78,84,-1,.,.,-1,.,.,84,92,91,85,65,78,87,94,91,88,71,90,85,89,94,84,76,82,100,-1,-1,-1,.,.,-1,.,.,-1,.,-1,87,92,95,87,84,77,77,81,89,75,67,75,63,-1,-1,73,-1,-1,92,98,93,93,82,88
"014801",54,-1,63,44,-1,.,67,.,-1,-1,-1,.,-1,.,.,-1,.,.,38,42,26,33,60,.,28,38,26,23,43,.,36,40,26,31,57,.,42,47,24,39,59,.,36,38,23,33,58,.,-1,-1,-1,-1,-1,.,17,-1,-1,8,45,.,35,38,29,29,62,.,36,40,24,32,58,.,14,21,11,8,29,.,47,54,29,42,73,.
"014802",-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,59,77,35,55,71,.,54,-1,-1,57,58,.,60,83,37,56,71,.,59,86,42,55,67,.,66,-1,-1,64,75,.,.,.,.,.,.,.,.,.,.,.,.,.,58,-1,-1,56,77,.,59,77,35,57,71,.,38,-1,-1,-1,-1,.,78,-1,-1,-1,88,.
"014803",75,-1,-1,80,-1,-1,69,-1,.,86,-1,-1,-1,.,.,-1,.,.,70,57,85,76,71,60,53,-1,.,60,60,50,63,42,100,72,54,59,66,51,64,73,69,65,73,55,100,80,63,69,-1,.,.,-1,.,-1,-1,.,.,-1,.,-1,73,63,100,78,74,56,50,29,-1,60,47,53,36,39,-1,43,-1,-1,72,64,80,78,76,59
"014804",93,90,100,90,100,-1,90,89,-1,90,-1,86,-1,.,.,-1,.,.,89,81,81,91,97,87,83,67,-1,86,100,80,84,67,74,87,96,90,88,79,79,92,96,89,86,83,77,87,96,82,-1,.,.,-1,.,-1,-1,-1,.,-1,.,-1,89,83,84,91,99,86,74,52,65,79,95,67,76,60,88,83,86,62,90,80,81,93,98,89
